"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","Gate time (ns)","Operational"
"47","192.95473164471747","63.95692272771287","0","0","0.016599999999999948","0.021399999999999975","0.0118","1560","0.0003542032392949381","0","0.0003542032392949381","0.0003542032392949381","47_48:0.002974523132883322;47_46:0.003422142934133371","47_48:84;47_46:84","true"
"48","186.11762056662485","205.5055745874957","0","0","0.05919999999999992","0.059599999999999986","0.0588","1560","0.00020865217789404922","0","0.00020865217789404922","0.00020865217789404922","48_36:0.0033973373492331704;48_49:0.0062901867801682665;48_47:0.002974523132883322","48_36:84;48_49:84;48_47:84","true"
"49","79.47662220311275","93.51554239265211","0","0","0.010699999999999932","0.0104","0.01100000000000001","1560","0.00018491334334519587","0","0.00018491334334519587","0.00018491334334519587","49_48:0.0062901867801682665;49_50:0.0033966465361742193","49_48:84;49_50:84","true"
"50","168.64333621137078","224.9163214548481","0","0","0.024799999999999933","0.0232","0.0264","1560","0.00032799454468293836","0","0.00032799454468293836","0.00032799454468293836","50_56:0.0025861226540075943;50_49:0.0033966465361742193;50_51:0.0035064021607707774","50_56:100;50_49:84;50_51:84","true"
"51","199.95132339121403","173.82110242999659","0","0","0.006399999999999961","0.006800000000000028","0.006","1560","0.0005425480837547772","0","0.0005425480837547772","0.0005425480837547772","51_52:0.002366674206811248;51_50:0.0035064021607707774","51_52:124;51_50:84","true"
"52","189.1616283586625","186.42009104922812","0","0","0.012399999999999967","0.010800000000000032","0.014","1560","0.00014836617324944128","0","0.00014836617324944128","0.00014836617324944128","52_37:0.0024694844281562267;52_51:0.002366674206811248","52_37:120;52_51:124","true"
"53","109.33992504517141","87.91398017959355","0","0","0.012199999999999989","0.0142","0.010199999999999987","1560","0.00025967689720931777","0","0.00025967689720931777","0.00025967689720931777","53_57:0.0028398903807453357;53_38:0.0029039371552594673","53_57:124;53_38:124","true"
"54","185.38791074618317","196.06911330442534","0","0","0.005600000000000049","0.0068","0.0043999999999999595","1560","0.0001782363587757176","0","0.0001782363587757176","0.0001782363587757176","54_61:0.005245102645088678;54_42:0.004052010315645976","54_61:168;54_42:84","true"
"55","101.84769805884348","119.70676216196932","0","0","0.008599999999999941","0.009399999999999964","0.0078","1560","0.00023865418683169438","0","0.00023865418683169438","0.00023865418683169438","55_65:0.004520519950442697;55_46:0.009931827091305079","55_65:136;55_46:100","true"
"56","293.7801531395524","192.72455997153","0","0","0.012299999999999978","0.0144","0.010199999999999987","1560","0.00018451291170407593","0","0.00018451291170407593","0.00018451291170407593","56_69:0.004127325059547021;56_50:0.0025861226540075943","56_69:176;56_50:100","true"
