"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"47","341.1323391266831","96.62933933526953","4.670791824991159","0","0.310546875","0.279296875","0.341796875","1244.4444444444443","0.0030658609135221604","0","0.0030658609135221604","0.0030658609135221604","","","true"
"48","308.5689496384189","57.68126127860995","4.625120221258787","0","0.0400390625","0.01953125","0.060546875","1244.4444444444443","0.00023049157260824726","0","0.00023049157260824726","0.00023049157260824726","48_49:0.009967967469612288;48_47:0.013505444228573027","48_49:561.7777777777777;48_47:561.7777777777777","true"
"49","282.2629438342211","50.571143476393104","4.581946233173021","0","0.012699999999999934","0.01639999999999997","0.009","1244.4444444444443","0.0002088619228273883","0","0.0002088619228273883","0.0002088619228273883","","","true"
"50","407.7783757296471","55.02225587073809","4.457860771525884","0","0.006700000000000039","0.0068","0.00660000000000005","1244.4444444444443","0.00014969337023678657","0","0.00014969337023678657","0.00014969337023678657","50_51:0.008694330482418494;50_49:0.011536589522938567","50_51:561.7777777777777;50_49:561.7777777777777","true"
"51","306.57589307495516","57.50206664270531","4.56537080619376","0","0.02279999999999993","0.016199999999999992","0.0294","1244.4444444444443","0.0004701756894610919","0","0.0004701756894610919","0.0004701756894610919","","","true"
"52","206.98900376089594","27.48039177625123","4.444541541647507","0","0.01100000000000001","0.0108","0.011199999999999988","1244.4444444444443","0.0011810351042409288","0","0.0011810351042409288","0.0011810351042409288","","","true"
"53","305.04863420888057","453.04656512541277","4.6220004336089975","0","0.0041999999999999815","0.00539999999999996","0.003","1244.4444444444443","0.0001387370013700219","0","0.0001387370013700219","0.0001387370013700219","53_60:0.005040103878428404;53_41:0.004059754914774644","53_60:561.7777777777777;53_41:561.7777777777777","true"
"54","352.9966437867773","24.25269315544816","4.501318160343457","0","0.006199999999999983","0.0068","0.005600000000000049","1244.4444444444443","0.00032896671835071185","0","0.00032896671835071185","0.00032896671835071185","54_45:0.013003668224138759;54_64:0.010614902504354345","54_45:561.7777777777777;54_64:561.7777777777777","true"
"55","344.5214181825143","32.160572512556904","4.686240843220327","0","0.0051000000000001044","0.005600000000000049","0.0046","1244.4444444444443","0.00016527407492356014","0","0.00016527407492356014","0.00016527407492356014","55_49:0.011597514413918708","55_49:561.7777777777777","true"
"56","229.77436341554778","39.71622506695495","4.553787474818587","0","0.009399999999999964","0.0176","0.0011999999999999789","1244.4444444444443","0.0013410151629851825","0","0.0013410151629851825","0.0013410151629851825","56_52:0.019532697737227295","56_52:561.7777777777777","true"
